asset_id,bank,language,word_count,mean_sentence_length,jargon_density,has_ing_script,has_nextjs_script,extreme_word_count,numeric_conversion_error,quality_status,eligible_for_deterministic_analysis
belfius__betaalrekening-voor-jongeren__nl__2db666014e,Belfius,nl,22197.0,6.4871,0.036,false,true,true,false,contaminated_text,false
belfius__compte-bancaire-pour-jeunes__fr__5ca90c8257,Belfius,fr,22513.0,7.7296,0.04,false,true,true,false,contaminated_text,false
belfius__index__nl__82d24d183c,Belfius,nl,1679.0,4.8786,0.7743,false,false,false,false,eligible,true
belfius__index__nl__a46cceef97,Belfius,nl,874.0,3.7579,1.2586,false,false,false,false,eligible,true
belfius__index__nl__edea673d2c,Belfius,nl,1381.0,4.3507,0.7965,false,false,false,false,eligible,true
ing__afgestudeerd-jongeren-onderhandelen-loon__nl__8780364d33,ING,nl,963.0,6.4802,0.1038,true,false,false,false,contaminated_text,false
ing__afgestudeerd-jongeren-tips-solliciteren__nl__5e8a6b1ac2,ING,nl,956.0,6.5075,0.1046,true,false,false,false,contaminated_text,false
ing__app-ing-banking-jeunes-apprendre-gerer-son-budget__fr__8b9dc331d4,ING,fr,1615.0,7.5747,0.1238,true,false,false,false,contaminated_text,false
ing__astuces-pour-gerer-budget-etudiant__fr__a65d8dd64c,ING,fr,1192.0,7.2392,1.4262,true,false,false,false,contaminated_text,false
ing__automatic-savings-account-youth__en__be6bdee298,ING,en,2045.0,22.9421,3.3741,true,false,false,false,contaminated_text,false
ing__avantage-compte-courant-jeune__fr__a13cbe1437,ING,fr,1040.0,7.6986,0.2885,true,false,false,false,contaminated_text,false
ing__bank-for-student-entrepreneur__en__846308617a,ING,en,1875.0,34.3304,0.64,true,false,false,false,contaminated_text,false
ing__bank-voor-student-ondernemer__nl__36536cccc6,ING,nl,1738.0,6.5146,0.4028,true,false,false,false,contaminated_text,false
ing__compare-savings-accounts-youth__en__39efa67537,ING,en,1374.0,28.1972,3.7846,true,false,false,false,contaminated_text,false
ing__credit-card-youth__en__c82a1daafc,ING,en,3910.0,30.5615,0.665,true,false,false,false,contaminated_text,false
kbc__18-ans__fr__6a644fdf4c,KBC,fr,4646.0,7.8875,0.495,false,false,false,false,eligible,true
kbc__18-jaar__nl__8d31439e86,KBC,nl,3957.0,4.4298,0.1011,false,false,false,false,eligible,true
kbc__7-tips-om-beter-te-sparen__nl__ad54e887bf,KBC,nl,2552.0,4.5951,0.1959,false,false,false,false,eligible,true
kbc__8-tips-om-goedkoop-te-reizen__nl__e210798f19,KBC,nl,2751.0,4.9608,0.1091,false,false,false,false,eligible,true
kbc__carte-credit-etudiants__fr__b8184b7a6d,KBC,fr,3452.0,8.2496,0.6663,false,false,false,false,eligible,true
kbc__changer-de-compte__fr__0467911a26,KBC,fr,3983.0,7.9583,0.6528,false,false,false,false,eligible,true
kbc__credit-card-students__en__427c316df1,KBC,en,3321.0,54.4494,1.2647,false,false,false,false,eligible,true
kbc__open-youth-account__en__0e35ed4fe8,KBC,en,2150.0,69.1818,1.7209,false,false,false,false,eligible,true
kbc__room-for-opportunities-investing-in-student-accommodation__en__602b7d2dc3,KBC,en,4536.0,53.1875,1.4771,false,false,false,false,eligible,true
kbc__self-employed-student__en__81f92b7414,KBC,en,8428.0,64.2857,0.2254,false,false,false,false,eligible,true
n26__bank-account__en__daae456c5e,N26,en,3505.0,39.3286,1.9116,false,false,false,false,eligible,true
n26__en-be__en__b712edc139,N26,en,4999.0,42.9023,2.1404,false,false,false,false,eligible,true
n26__plans__en__43955ea90d,N26,en,5572.0,42.8811,2.3869,false,false,false,false,eligible,true
n26__under-18s__en__efd576bd35,N26,en,2337.0,41.1327,0.9842,false,false,false,false,eligible,true
n26__how-to-open-a-bank-account-in-belgium__fr__a3d02b35c6,N26,fr,22683.0,6.9677,0.0661,false,false,true,false,review_extreme_length,false
revolut__getting-started-with-instant-access-savings__en__bb34b97d35,Revolut,en,3407.0,100.0195,1.4089,false,false,false,false,eligible,true
revolut__open-bank-account__en__9140a67763,Revolut,en,6105.0,58.5168,0.9828,false,false,false,false,eligible,true
revolut__revolut-junior__fr__88ba5a908e,Revolut,fr,4227.0,2.735,0.3785,false,false,false,false,eligible,true
revolut__revolut-junior__nl__373f39897d,Revolut,nl,3511.0,9.1517,0.2279,false,false,false,false,eligible,true
revolut__paid-plans__nl__fdb1fb8d3f,Revolut,nl,46069.0,8.8331,0.1997,false,false,true,false,review_extreme_length,false
